date,channel_name,message_id,text,sentiment,rephrased_news,title,topic,location_type,location,coords
2024-09-09T16:55:19+00:00,Straw INFO - Solomianskyi District,12625,"⚡️ The Roman Ratushnyi Nature Reserve in Protasov Yar is under threat: people have gathered for a rally outside the Kyiv City State Administration.

The head of the Kyiv City Council's permanent commission on architecture, urban planning, and land relations has invited the construction company, faction leaders, and representatives of the NGO 'Protect Protasov Yar' and the community today at 15:00 to 'discuss problematic issues that may arise when considering the draft decisions of the Kyiv City Council regarding the protection of the Roman Ratushnyi Nature Reserve in Protasov Yar'.

These are the projects aimed at preserving the status of Protasov Yar as a green zone.

Activists claim that the representative of the developer had previously met with Kyiv City Council deputies without the presence of community representatives. Therefore, people decided to gather outside the Kyiv City Council.",negative,A rally is taking place outside the Kyiv City State Administration to protect the Roman Ratushnyi Nature Reserve in Protasov Yar. Activists are concerned about construction projects that may threaten the green zone.,Rally to Protect Nature Reserve,Social/Political Instability,exact location,Kyiv City State Administration,"[50.446306, 30.520272]"
2024-09-09T16:55:19+00:00,Straw INFO - Solomianskyi District,12625,"⚡️ The Roman Ratushnyi Nature Reserve in Protasov Yar is under threat: people have gathered for a rally outside the Kyiv City State Administration.

The head of the Kyiv City Council's permanent commission on architecture, urban planning, and land relations has invited the construction company, faction leaders, and representatives of the NGO 'Protect Protasov Yar' and the community today at 15:00 to 'discuss problematic issues that may arise when considering the draft decisions of the Kyiv City Council regarding the protection of the Roman Ratushnyi Nature Reserve in Protasov Yar'.

These are the projects aimed at preserving the status of Protasov Yar as a green zone.

Activists claim that the representative of the developer had previously met with Kyiv City Council deputies without the presence of community representatives. Therefore, people decided to gather outside the Kyiv City Council.",negative,A rally is taking place outside the Kyiv City State Administration to protect the Roman Ratushnyi Nature Reserve in Protasov Yar. Activists are concerned about construction projects that may threaten the green zone.,Rally to Protect Nature Reserve,Social/Political Instability,exact location,Protasov Yar,"[50.4226568, 30.5012244]"
2024-09-09T12:18:06+00:00,Straw INFO - Solomianskyi District,12617,"⚠️ Traffic accident involving an ambulance at the intersection of Zhilyanska and Pavlo Skoropadskyi streets.

It is also reported that the movement of trolleybuses No. 3 and 9 is blocked towards Solomianska.",negative,"An ambulance was involved in a traffic accident at the intersection of Zhilyanska and Pavlo Skoropadskyi streets, blocking trolleybus routes No. 3 and 9 towards Solomianska.",Ambulance Involved in Traffic Accident,Accidents or Disasters,street,Zhilyanska Street,"[50.4396641, 30.498437]"
2024-09-09T12:18:06+00:00,Straw INFO - Solomianskyi District,12617,"⚠️ Traffic accident involving an ambulance at the intersection of Zhilyanska and Pavlo Skoropadskyi streets.

It is also reported that the movement of trolleybuses No. 3 and 9 is blocked towards Solomianska.",negative,"An ambulance was involved in a traffic accident at the intersection of Zhilyanska and Pavlo Skoropadskyi streets, blocking trolleybus routes No. 3 and 9 towards Solomianska.",Ambulance Involved in Traffic Accident,Accidents or Disasters,street,Solomianska,"[50.4311745, 30.47186589999999]"
2024-09-07T18:27:23+00:00,Straw INFO - Solomianskyi District,12596,"The KyivBookFest book forum, taking place from September 5 to 8 at the ""Gorodok Galery"" shopping center, is an important cultural and artistic event and extremely interesting for the librarians of our library regarding the arts. It is not only a large book fair but also an industry forum. More than 130 publishers are participating, with over 200 events taking place – industry lectures, presentations, poetry readings, and musical performances. The festival organizers announced a charity collection – 1,500,000 UAH to update the library collections of military educational institutions with modern literature.",positive,"The KyivBookFest, running from September 5 to 8 at the Gorodok Gallery, is a significant cultural event featuring over 130 publishers and more than 200 activities, including lectures and performances. The organizers are also collecting 1.5 million UAH to update library collections for military educational institutions.",KyivBookFest Celebrates Literature,Cultural/Sporting Milestones,exact location,Gorodok Gallery,"[50.48993400000001, 30.4951873]"
2024-09-07T17:40:35+00:00,Straw INFO - Solomianskyi District,12595,There was a fire in Zhulyany🔥,negative,A fire occurred in Zhulyany.,Fire Breaks Out in Zhulyany,Accidents or Disasters,exact location,Zhulyany,"[50.39428239999999, 30.4406358]"
2024-09-07T17:39:51+00:00,Straw INFO - Solomianskyi District,12594,Traffic accident at Solomianska Square,negative,There was a traffic accident at Solomianska Square.,Traffic Accident at Solomianska,Accidents or Disasters,exact location,Solomianska Square,"[50.4313864, 30.4704653]"
2024-09-07T15:06:41+00:00,Straw INFO - Solomianskyi District,12592,"🚧 Due to a traffic accident on Beresteiskyi Avenue, traffic is complicated in the direction of leaving the city.",negative,Traffic is complicated on Beresteiskyi Avenue due to an accident.,Traffic Complications on Beresteiskyi,Accidents or Disasters,street,Beresteiskyi Avenue,"[50.4587577, 30.4194449]"
2024-09-06T07:22:44+00:00,Straw INFO - Solomianskyi District,12573,"🐢🦜**Turtles and Ara parrots are enjoying watermelons at Kyiv Zoo**

➡️You can watch the feeding demonstrations on September 7-8 at 12:00.",positive,"Turtles and Ara parrots at Kyiv Zoo are being fed watermelons, with demonstrations scheduled for September 7-8.",Zoo Animals Enjoy Watermelons,Community Events or Achievements,exact location,Kyiv Zoo,"[50.4549073, 30.4651811]"
2024-09-05T07:10:12+00:00,Straw INFO - Solomianskyi District,12540,❗️Attention everyone ❗️ Shaheds continue to attack Kyiv region. The alert has been ongoing for more than 10 hours. The cities of Boyarka and Vyshneve are at the epicenter of events. All information can be found at the links: Boyarka - https://t.me/boyarkainfo Vyshneve - https://t.me/vyshneve_info. Subscribe for only current information in real-time.,negative,"The Kyiv region is under attack from Shahed drones, with alerts ongoing for over 10 hours. Boyarka and Vyshneve are the main areas affected.",Kyiv Region Under Shahed Attack,Public Safety Risks,street,Vasylenka Street,"[50.4484937, 30.4194663]"
2024-09-05T04:07:58+00:00,Straw INFO - Solomianskyi District,12515,"💬 'The air raid alert continues! Air defense is active in the capital. Stay in shelters until the air raid alert is lifted!' Sergey Popko, head of KMVA.",negative,"The air raid alert is ongoing, with active air defense measures in place in the capital.",Air Defense Active in Kyiv,Social/Political Instability,street,Hetmana Street,"[48.5239882, 25.0302734]"
2024-09-04T09:45:25+00:00,Straw INFO - Solomianskyi District,12499,The movement of trolleybuses No. 7 and 36 is delayed due to a traffic accident on Beresteisky Avenue / 'Dachna' bus station towards Chornobylska Street. The police have been called to the scene.,negative,The movement of trolleybuses No. 7 and 36 is delayed due to a traffic accident on Beresteisky Avenue.,Trolleybus Delays Due to Accident,Accidents or Disasters,street,Beresteisky Avenue,"[50.4587577, 30.4194449]"
2024-09-04T09:19:39+00:00,Straw INFO - Solomianskyi District,12497,A traffic accident occurred at the intersection of Harmatna and Borshchahivska streets towards the city center.,negative,A traffic accident has occurred at the intersection of Harmatna and Borshchahivska streets.,Traffic Accident in City Center,Accidents or Disasters,exact location,Intersection of Harmatna and Borshchahivska streets,"[50.4415683, 30.4321724]"
2024-09-04T06:57:45+00:00,Straw INFO - Solomianskyi District,12493,The movement of trolleybuses No. 27 is delayed on Harmatna Street due to a traffic accident. The police have been called to the scene.,negative,The movement of trolleybus No. 27 is delayed on Harmatna Street due to a traffic accident.,Trolleybus Delays on Harmatna Street,Accidents or Disasters,street,Harmatna Street,"[50.4462306, 30.4325286]"
2024-09-04T06:14:01+00:00,Straw INFO - Solomianskyi District,12487,"Kyivteploenergo: Under the central street of Solomianskyi, pipes were replaced without stopping the busy traffic. 🛠Kyivteploenergo replaced part of the damaged pipe, with a diameter of 400 mm on Solomianska Street. More than 30 meters of pipes were laid directly under the roadway. The energy workers carried out the work without stopping traffic on one of the busiest highways in the city. The heating network on Solomianska Street was laid over 45 years ago. In recent years, 8 damages have been detected here. To prevent future ruptures in the heating network, it was decided to replace the damaged section. The repair team dismantled the old pipes and laid new ones in special boxes that protect the pipeline from transport loads. Hydro insulation and thermal insulation were performed on the new section to increase durability and efficiency.",positive,"Kyivteploenergo has replaced a section of a damaged 400 mm pipe on Solomianska Street without halting traffic. Over 30 meters of new pipes were installed under the busy roadway, which has had eight damages in recent years. The old pipes were removed and new ones were placed in protective boxes, with hydro and thermal insulation added for durability.",Traffic Maintained During Pipe Replacement,Improvements in Infrastructure,street,Solomianska Street,"[50.4233249, 30.4805921]"
2024-09-03T07:29:47+00:00,Straw INFO - Solomianskyi District,12463,"😱 A man was seen running in Solomianka with a hole in his stomach. He was spotted running on Chokolivskyi Boulevard, holding his stomach. It turned out that the man had a stab wound. The police provided him with first aid and handed him over to doctors. According to the victim, he was stabbed by an unknown woman.",negative,A man was seen running on Chokolivskyi Boulevard with a stab wound to his stomach. He received first aid from the police before being taken to the hospital.,Stabbing Incident in Solomianka,Crime or Safety Concerns,street,Chokolivskyi Boulevard,"[50.4317703, 30.4551932]"
2024-08-30T19:24:50+00:00,Straw INFO - Solomianskyi District,12382,"✅ Recently, on Valerii Lobanovskyi Avenue, police noticed a BMW vehicle whose driver crossed a double solid line of road markings.

Inspectors immediately stopped the driver and drew up the relevant administrative materials.

❗️ We remind you that according to Section 34 ""Road Markings"" of the Traffic Rules of Ukraine, a double solid line of road marking under number 1.3 divides the directions of movement on highways, with at least two lanes of traffic in each direction. Crossing the line is prohibited.

Be polite and do not violate the traffic rules!",negative,Police stopped a driver for crossing a double solid line on Valerii Lobanovskyi Avenue.,Police Stop Traffic Violator,Crime or Safety Concerns,street,Valerii Lobanovskyi Avenue,"[50.4125989, 30.4836221]"
2024-08-30T18:53:27+00:00,Straw INFO - Solomianskyi District,12378,"On August 31, instead of trams No. 1 and 3, buses will temporarily operate.

On August 31, approximately until 18:00, trams on routes No. 1 and 3 will not operate temporarily due to the repair of the tram track on Zhylianska Street. This was reported by KP ""Kyivpastrans"".

Passenger transportation will be carried out by temporary bus routes:

Bus No. 1-T
""Mykhailivska Borshchahivka – Staro-Vokzalna St."" – Simyrenka St. – Mykola Rudenko Boulevard – Lesia Ukrainka Avenue – Liubomyr Huzar Avenue – Borshchahivska St. – Zhylianska St. – Staro-Vokzalna St. – Zhylianska St. – Borshchahivska St. – Liubomyr Huzar Avenue – Lesia Ukrainka Avenue – Volodymyr Pokotylo St. – Mykola Rudenko Boulevard – Simyrenka St.;

Bus No. 3-T
""Ring Road – Staro-Vokzalna St."" – Lesia Ukrainka Avenue – Liubomyr Huzar Avenue – Borshchahivska St. – Zhylianska St. – Staro-Vokzalna St.
""Kyivpastrans"" apologizes for the temporary inconvenience.",negative,"On August 31, buses will temporarily replace trams No. 1 and 3 due to track repairs on Zhylianska Street.",Bus Replaces Trams Temporarily,Citizen Discomfort,street,Zhylianska Street,"[50.4396641, 30.498437]"
2024-08-30T16:05:40+00:00,Straw INFO - Solomianskyi District,12376,The battle of the kiosks continues: the passage near the Central Railway Station has been cleared of kiosks.,negative,The area near the Central Railway Station has been cleared of kiosks.,Kiosk Removal Near Railway Station,City Problems,exact location,Central Railway Station,"[13.0832022, 80.27552519999999]"
2024-08-30T07:32:44+00:00,Straw INFO - Solomianskyi District,12361,"**The movement of trams No. 14, 15 is delayed.**

The movement of trams No. 14, 15 on Vasylenka St. towards Kontraktova Square is delayed due to a parked car in the passageway. The responsible city service has been dispatched to the scene.",negative,Tram services No. 14 and 15 on Vasylenka Street towards Kontraktova Square are delayed because of a parked car obstructing the passage. City services are responding to the situation.,Tram Delays on Vasylenka St.,Citizen Discomfort,street,Vasylenka Street,"[50.4484937, 30.4194663]"
2024-08-30T07:32:44+00:00,Straw INFO - Solomianskyi District,12361,"**The movement of trams No. 14, 15 is delayed.**

The movement of trams No. 14, 15 on Vasylenka St. towards Kontraktova Square is delayed due to a parked car in the passageway. The responsible city service has been dispatched to the scene.",negative,Tram services No. 14 and 15 on Vasylenka Street towards Kontraktova Square are delayed because of a parked car obstructing the passage. City services are responding to the situation.,Tram Delays on Vasylenka St.,Citizen Discomfort,street,Kontraktova Square,"[50.463945, 30.5174135]"
2024-08-30T07:25:12+00:00,Straw INFO - Solomianskyi District,12358,🔥 Something has burned on Dehtiarivska St. 15.,negative,A fire incident has occurred at Dehtiarivska Street 15.,Fire Incident on Dehtiarivska St.,Accidents or Disasters,exact location,Dehtiarivska Street 15,"[50.4616558, 30.4767528]"
2024-08-30T07:09:00+00:00,Straw INFO - Solomianskyi District,12355,"**The movement of trolleybuses No. 7, 36 is delayed.**

The movement of trolleybuses No. 7, 36 on Beresteyskyi Ave. - metro station ""Zhytomyrska"" towards metro station ""Ukrainian Heroes Square"" is delayed due to a traffic accident. The police have been called to the scene.

Bus movement has been organized to the metro station ""Sviatoshyn"".",negative,"Trolleybus services No. 7 and 36 on Beresteyskyi Avenue towards Ukrainian Heroes Square are delayed due to a traffic accident, with police on site. Bus services have been arranged to Sviatoshyn metro station.",Trolleybus Delays Due to Accident,Accidents or Disasters,street,Beresteyskyi Avenue,"[50.4587577, 30.4194449]"
2024-08-30T07:09:00+00:00,Straw INFO - Solomianskyi District,12355,"**The movement of trolleybuses No. 7, 36 is delayed.**

The movement of trolleybuses No. 7, 36 on Beresteyskyi Ave. - metro station ""Zhytomyrska"" towards metro station ""Ukrainian Heroes Square"" is delayed due to a traffic accident. The police have been called to the scene.

Bus movement has been organized to the metro station ""Sviatoshyn"".",negative,"Trolleybus services No. 7 and 36 on Beresteyskyi Avenue towards Ukrainian Heroes Square are delayed due to a traffic accident, with police on site. Bus services have been arranged to Sviatoshyn metro station.",Trolleybus Delays Due to Accident,Accidents or Disasters,street,Sviatoshyn metro station,"[50.4577675, 30.3906572]"
2024-08-29T18:58:46+00:00,Straw INFO - Solomianskyi District,12351,"**Train movement on the ""red"" metro line is carried out between the stations ""Akademmistechko"" – ""Vokzalna"", ""Khreshchatyk"" – ""Lisova""**
The stations ""Teatralna"" and ""Universitet"" are temporarily closed for passenger entry.

❕️ At the ""Universitet"" station, a passenger fell onto the tracks.

Relevant services are working at the scene.

Law enforcement agencies are clarifying the circumstances.",negative,"Train services on the 'red' metro line are operating between Akademmistechko and Vokzalna, and Khreshchatyk and Lisova stations, while Teatralna and Universitet stations are temporarily closed due to an incident involving a passenger.",Metro Stations Temporarily Closed,Citizen Discomfort,exact location,Akademmistechko,"[50.4656815, 30.3667554]"
2024-08-29T18:58:46+00:00,Straw INFO - Solomianskyi District,12351,"**Train movement on the ""red"" metro line is carried out between the stations ""Akademmistechko"" – ""Vokzalna"", ""Khreshchatyk"" – ""Lisova""**
The stations ""Teatralna"" and ""Universitet"" are temporarily closed for passenger entry.

❕️ At the ""Universitet"" station, a passenger fell onto the tracks.

Relevant services are working at the scene.

Law enforcement agencies are clarifying the circumstances.",negative,"Train services on the 'red' metro line are operating between Akademmistechko and Vokzalna, and Khreshchatyk and Lisova stations, while Teatralna and Universitet stations are temporarily closed due to an incident involving a passenger.",Metro Stations Temporarily Closed,Citizen Discomfort,exact location,Vokzalna,"[50.4413353, 30.489963]"
2024-08-29T18:58:46+00:00,Straw INFO - Solomianskyi District,12351,"**Train movement on the ""red"" metro line is carried out between the stations ""Akademmistechko"" – ""Vokzalna"", ""Khreshchatyk"" – ""Lisova""**
The stations ""Teatralna"" and ""Universitet"" are temporarily closed for passenger entry.

❕️ At the ""Universitet"" station, a passenger fell onto the tracks.

Relevant services are working at the scene.

Law enforcement agencies are clarifying the circumstances.",negative,"Train services on the 'red' metro line are operating between Akademmistechko and Vokzalna, and Khreshchatyk and Lisova stations, while Teatralna and Universitet stations are temporarily closed due to an incident involving a passenger.",Metro Stations Temporarily Closed,Citizen Discomfort,exact location,Khreshchatyk,"[50.4477412, 30.5220779]"
2024-08-29T08:56:17+00:00,Straw INFO - Solomianskyi District,12339,"🔴 A corrupt official is being apprehended at Sevastopol Square, a suitcase with money is visible in the car. Investigative actions are underway.",negative,"A corrupt official was apprehended at Sevastopol Square, with a suitcase containing money visible in the vehicle.",Corrupt Official Apprehended,Crime or Safety Concerns,exact location,Sevastopol Square,"[44.61665, 33.525367]"
2024-08-28T20:02:20+00:00,Straw INFO - Solomianskyi District,12312,"💡Regarding electricity. At 23:00

— Connecting group 4
— Group 5 remains disconnected
— Group 6 remains disconnected.",negative,"At 23:00, group 4 will be connected, while groups 5 and 6 will remain disconnected.",Electricity Status Update,Citizen Discomfort,street,Povitroflotskyi,"[50.4206903, 30.4544947]"
2024-08-28T20:02:20+00:00,Straw INFO - Solomianskyi District,12312,"💡Regarding electricity. At 23:00

— Connecting group 4
— Group 5 remains disconnected
— Group 6 remains disconnected.",negative,"At 23:00, group 4 will be connected, while groups 5 and 6 will remain disconnected.",Electricity Status Update,Citizen Discomfort,street,Sevastopol Square,"[44.61665, 33.525367]"
2024-08-27T04:32:35+00:00,Straw INFO - Solomianskyi District,12268,"📸 blooming park ""Vidradnyi""",positive,The blooming park 'Vidradnyi' is featured.,Blooming Park 'Vidradnyi' Captured,Environmental Improvements,exact location,Vidradnyi Park,"[50.4311122, 30.4235445]"
2024-08-26T14:59:09+00:00,Straw INFO - Solomianskyi District,12255,"**The movement of trolleybuses No. 4, 5, 7, 22, 27, 30, 42 is delayed**

The movement of trolleybuses No. 4, 5, 7, 22, 27, 30, 42 at the metro station ""Shulyavska"" is delayed due to the lack of voltage.",negative,"The movement of trolleybuses No. 4, 5, 7, 22, 27, 30, and 42 is delayed at the Shulyavska metro station due to a lack of voltage.",Trolleybus Services Delayed in Kyiv,Citizen Discomfort,exact location,Shulyavska metro station,"[50.4513475, 30.44457199999999]"
2024-08-26T06:32:30+00:00,Straw INFO - Solomianskyi District,12231,"🚇 **The 'Green' line! The 'Vydubychi' station is operating in shelter mode due to a significant increase in people.**

Train movement on the green line is ongoing:
▫️ from 'Syrets' station to 'Zvirynetska' station;
▫️ from 'Osokorky' station to 'Chervonyi Khutir' station.

❕ 'Vydubychi' and 'Slavutych' stations are operating in shelter mode.",negative,The 'Vydubychi' station on the green line is operating in shelter mode due to a significant increase in passengers. Train services continue from 'Syrets' to 'Zvirynetska' and from 'Osokorky' to 'Chervonyi Khutir'.,Vydubychi Station in Shelter Mode,Citizen Discomfort,exact location,Vydubychi station,"[50.400692, 30.557399]"
2024-08-26T06:32:30+00:00,Straw INFO - Solomianskyi District,12231,"🚇 **The 'Green' line! The 'Vydubychi' station is operating in shelter mode due to a significant increase in people.**

Train movement on the green line is ongoing:
▫️ from 'Syrets' station to 'Zvirynetska' station;
▫️ from 'Osokorky' station to 'Chervonyi Khutir' station.

❕ 'Vydubychi' and 'Slavutych' stations are operating in shelter mode.",negative,The 'Vydubychi' station on the green line is operating in shelter mode due to a significant increase in passengers. Train services continue from 'Syrets' to 'Zvirynetska' and from 'Osokorky' to 'Chervonyi Khutir'.,Vydubychi Station in Shelter Mode,Citizen Discomfort,exact location,Syrets station,"[50.475221, 30.430001]"
2024-08-26T06:32:30+00:00,Straw INFO - Solomianskyi District,12231,"🚇 **The 'Green' line! The 'Vydubychi' station is operating in shelter mode due to a significant increase in people.**

Train movement on the green line is ongoing:
▫️ from 'Syrets' station to 'Zvirynetska' station;
▫️ from 'Osokorky' station to 'Chervonyi Khutir' station.

❕ 'Vydubychi' and 'Slavutych' stations are operating in shelter mode.",negative,The 'Vydubychi' station on the green line is operating in shelter mode due to a significant increase in passengers. Train services continue from 'Syrets' to 'Zvirynetska' and from 'Osokorky' to 'Chervonyi Khutir'.,Vydubychi Station in Shelter Mode,Citizen Discomfort,exact location,Zvirynetska station,"[50.417033, 30.547317]"
2024-08-26T06:32:30+00:00,Straw INFO - Solomianskyi District,12231,"🚇 **The 'Green' line! The 'Vydubychi' station is operating in shelter mode due to a significant increase in people.**

Train movement on the green line is ongoing:
▫️ from 'Syrets' station to 'Zvirynetska' station;
▫️ from 'Osokorky' station to 'Chervonyi Khutir' station.

❕ 'Vydubychi' and 'Slavutych' stations are operating in shelter mode.",negative,The 'Vydubychi' station on the green line is operating in shelter mode due to a significant increase in passengers. Train services continue from 'Syrets' to 'Zvirynetska' and from 'Osokorky' to 'Chervonyi Khutir'.,Vydubychi Station in Shelter Mode,Citizen Discomfort,exact location,Osokorky station,"[50.3825909, 30.604857]"
2024-08-26T06:32:30+00:00,Straw INFO - Solomianskyi District,12231,"🚇 **The 'Green' line! The 'Vydubychi' station is operating in shelter mode due to a significant increase in people.**

Train movement on the green line is ongoing:
▫️ from 'Syrets' station to 'Zvirynetska' station;
▫️ from 'Osokorky' station to 'Chervonyi Khutir' station.

❕ 'Vydubychi' and 'Slavutych' stations are operating in shelter mode.",negative,The 'Vydubychi' station on the green line is operating in shelter mode due to a significant increase in passengers. Train services continue from 'Syrets' to 'Zvirynetska' and from 'Osokorky' to 'Chervonyi Khutir'.,Vydubychi Station in Shelter Mode,Citizen Discomfort,exact location,Chervonyi Khutir station,"[49.087498, 31.857418]"
2024-08-26T06:03:47+00:00,Straw INFO - Solomianskyi District,12215,"**🚇 Metro trains are running on the 'Red' line from 'Akademmistechko' station to 'Teatralna' station.**

The metro stations 'Arsenalna' and 'Khreshchatyk' are operating only in shelter mode.",negative,"Metro trains are operational on the 'Red' line between 'Akademmistechko' and 'Teatralna' stations, while 'Arsenalna' and 'Khreshchatyk' stations are in shelter mode.",Red Line Metro Operations Update,Citizen Discomfort,exact location,Akademmistechko station,"[50.4656815, 30.3667554]"
2024-08-26T06:03:47+00:00,Straw INFO - Solomianskyi District,12215,"**🚇 Metro trains are running on the 'Red' line from 'Akademmistechko' station to 'Teatralna' station.**

The metro stations 'Arsenalna' and 'Khreshchatyk' are operating only in shelter mode.",negative,"Metro trains are operational on the 'Red' line between 'Akademmistechko' and 'Teatralna' stations, while 'Arsenalna' and 'Khreshchatyk' stations are in shelter mode.",Red Line Metro Operations Update,Citizen Discomfort,exact location,Teatralna station,"[50.445037, 30.519]"
2024-08-26T06:03:47+00:00,Straw INFO - Solomianskyi District,12215,"**🚇 Metro trains are running on the 'Red' line from 'Akademmistechko' station to 'Teatralna' station.**

The metro stations 'Arsenalna' and 'Khreshchatyk' are operating only in shelter mode.",negative,"Metro trains are operational on the 'Red' line between 'Akademmistechko' and 'Teatralna' stations, while 'Arsenalna' and 'Khreshchatyk' stations are in shelter mode.",Red Line Metro Operations Update,Citizen Discomfort,exact location,Arsenalna station,"[50.4430624, 30.5471574]"
2024-08-26T06:03:47+00:00,Straw INFO - Solomianskyi District,12215,"**🚇 Metro trains are running on the 'Red' line from 'Akademmistechko' station to 'Teatralna' station.**

The metro stations 'Arsenalna' and 'Khreshchatyk' are operating only in shelter mode.",negative,"Metro trains are operational on the 'Red' line between 'Akademmistechko' and 'Teatralna' stations, while 'Arsenalna' and 'Khreshchatyk' stations are in shelter mode.",Red Line Metro Operations Update,Citizen Discomfort,exact location,Khreshchatyk station,"[50.4477412, 30.5220779]"
2024-08-23T05:08:41+00:00,Straw INFO - Solomianskyi District,12153,"The movement of trams No. 14, 15 is delayed on Dehtyarivska Street 36 for technical reasons. A responsible service of the enterprise has been dispatched to the site.",negative,Tram services No. 14 and 15 are also delayed on Dehtyarivska Street due to technical issues.,Tram Delays on Dehtyarivska,Citizen Discomfort,street,Dehtyarivska Street,"[50.4538219, 30.4882207]"
2024-08-22T11:49:01+00:00,Straw INFO - Solomianskyi District,12151,🚧Morning traffic accident on Solomianska Street.,negative,A traffic accident occurred this morning on Solomianska Street.,Traffic Accident on Solomianska,Accidents or Disasters,street,Solomianska Street,"[50.4233249, 30.4805921]"
2024-08-22T10:44:53+00:00,Straw INFO - Solomianskyi District,12149,"The movement of trolleybuses No. 4, 5, 7 is delayed on Beresteyskyi Avenue towards the ""Ukrainian Heroes Square"" metro station due to a traffic accident. Police have been called to the scene.",negative,"Trolleybus services No. 4, 5, and 7 are delayed on Beresteyskyi Avenue due to a traffic accident.",Trolleybus Delays Due to Accident,Citizen Discomfort,street,Beresteyskyi Avenue,"[50.4587577, 30.4194449]"
2024-08-21T17:59:07+00:00,Straw INFO - Solomianskyi District,12131,"⚡ A Bolt taxi driver hit a person: the incident occurred at the intersection of Solomianska and Narodna streets, — eyewitnesses.",negative,A Bolt taxi driver was involved in an incident at the intersection of Solomianska and Narodna streets.,Taxi Driver Hits Pedestrian,Accidents or Disasters,exact location,Intersection of Solomianska and Narodna streets,"[50.4208219, 30.4863431]"
2024-08-21T08:28:27+00:00,Straw INFO - Solomianskyi District,12124,"A person was hit at the intersection of Solomianska and Narodna streets🚶‍♂️💥🚗

The injured person was taken by ambulance🚑",negative,A person was injured in an incident at the intersection of Solomianska and Narodna streets and was taken to the hospital.,Pedestrian Injured in Accident,Accidents or Disasters,exact location,Intersection of Solomianska and Narodna streets,"[50.4208219, 30.4863431]"
2024-08-20T17:47:10+00:00,Straw INFO - Solomianskyi District,12110,"Subsequently, it was privatized based on an independent assessment. It was established that the appraisers intentionally did not properly inspect the real estate object, resulting in the inclusion of false information in the appraisal report amounting to over 330 thousand hryvnias.

At the same time, the director of the KMDA Department, Hudz, did not take appropriate control measures and did not verify the indicated data. As a result of such actions, municipal real estate was privatized at a reduced value.

The Solomianska District Prosecutor's Office of Kyiv has sent an indictment to the court against the director of the KMDA Department of Municipal Property, Hudz, and two appraisers for negligence and abuse of office, as well as for the preparation of a knowingly forged official document during the privatization of municipal real estate in Kyiv (part 2 of article 367, part 3 of article 365-2, part 3 of article 358 of the Criminal Code of Ukraine).",negative,"An indictment has been filed against Hudz, the director of the KMDA Department of Municipal Property, and two appraisers for negligence and falsifying documents during the privatization of municipal real estate.",Prosecutors Charge KMDA Director,Crime or Safety Concerns,exact location,National Aviation University,"[50.4400743, 30.4298761]"
2024-08-20T10:51:21+00:00,Straw INFO - Solomianskyi District,12103,"**Another 22-year-old dealer of psychotropic substances was detained in the Solomianskyi district**

The young man was engaged in the distribution of prohibited substances through ""stash"" methods. Among the ""goods"" - ""Alpha-PVP"" and cannabis.

During the investigative actions, over 200 packages of drugs and psychotropics, as well as means for packaging and preparing orders, were seized from the offender and his residence.",negative,"A 22-year-old man was arrested in Solomianskyi district for distributing psychotropic substances, with over 200 packages seized during the investigation.",22-Year-Old Drug Dealer Arrested,Crime or Safety Concerns,street,Solomianska Street,"[50.4233249, 30.4805921]"
2024-08-20T05:49:01+00:00,Straw INFO - Solomianskyi District,12100,"Due to a malfunctioning traffic light, a car hit a person.

Another issue due to the impotence and irresponsibility of the Kyiv authorities, who cannot connect traffic lights to a backup line, although there was more than enough time.

Solomianska St. (Protasiv Yar stop)",negative,A pedestrian was struck by a car due to a malfunctioning traffic light on Solomianska Street.,Pedestrian Hit by Car Incident,Accidents or Disasters,street,Maksym Kryvonos Street,"[49.4769481, 24.1112799]"
2024-08-19T08:00:58+00:00,Straw INFO - Solomianskyi District,12078,"😷 In Kyiv, there is an increased level of air pollution observed in the morning.

On Beresteiskyi Avenue and on Kharkiv Highway - moderate pollution level.",negative,"Increased air pollution levels were observed in Kyiv this morning, particularly on Beresteiskyi Avenue and Kharkiv Highway.",Morning Air Pollution Levels Rise,Environmental concerns,street,Beresteiskyi Avenue,"[50.4587577, 30.4194449]"
2024-08-19T08:00:58+00:00,Straw INFO - Solomianskyi District,12078,"😷 In Kyiv, there is an increased level of air pollution observed in the morning.

On Beresteiskyi Avenue and on Kharkiv Highway - moderate pollution level.",negative,"Increased air pollution levels were observed in Kyiv this morning, particularly on Beresteiskyi Avenue and Kharkiv Highway.",Morning Air Pollution Levels Rise,Environmental concerns,street,Kharkiv Highway,"[50.00201269999999, 36.3073994]"
2024-08-18T14:13:13+00:00,Straw INFO - Solomianskyi District,12059,"⬜️🚬 A public ashtray has been installed near the ""Flowers of Ukraine"" building. 

Previously, residents threw cigarette butts into a tin can or even onto flower beds. Capital activists made a square ashtray from concrete and placed instructions nearby on how to use it.",positive,"A public ashtray has been installed near the 'Flowers of Ukraine' building to encourage proper disposal of cigarette butts, which were previously discarded improperly.",New Public Ashtray Installed,Environmental Improvements,exact location,'Flowers of Ukraine' building,"[48.379433, 31.16558]"
